epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4010.73,1.51842,1.83615,1.44607,0.79686,0.67714,0.78286,0.4237,1.46623,1.18019,1.40968,0.000331096,0.000331096,0.000331096
2,7580.82,1.46264,1.04491,1.39818,0.74175,0.73143,0.77674,0.42444,1.44426,1.13125,1.4186,0.000598651,0.000598651,0.000598651
3,11150.7,1.443,0.94792,1.38922,0.81399,0.73126,0.7991,0.45117,1.39496,1.00771,1.36053,0.000800206,0.000800206,0.000800206
4,14723.8,1.37546,0.84727,1.34657,0.81824,0.82552,0.86865,0.49048,1.40711,0.89139,1.37308,0.000703,0.000703,0.000703
5,18296,1.31566,0.74787,1.30874,0.88382,0.89385,0.92567,0.57976,1.23659,0.70134,1.25039,0.000604,0.000604,0.000604
6,21866.9,1.25482,0.66978,1.26225,0.87482,0.92075,0.9321,0.60352,1.1863,0.62222,1.22161,0.000505,0.000505,0.000505
7,25443.1,1.19632,0.61207,1.22858,0.90496,0.93051,0.94902,0.63585,1.11992,0.57347,1.18461,0.000406,0.000406,0.000406
8,29019.1,1.14398,0.56409,1.20286,0.94863,0.94202,0.96131,0.67026,1.06634,0.51809,1.14277,0.000307,0.000307,0.000307
9,32939.6,1.07788,0.52084,1.16405,0.95275,0.95331,0.96888,0.70845,0.99497,0.47175,1.10809,0.000208,0.000208,0.000208
10,37992,1.0218,0.47457,1.12888,0.964,0.9641,0.97867,0.73975,0.94017,0.43762,1.06999,0.000109,0.000109,0.000109
